Reads Writes Write% Threads Commits/s Aborts/s
300000 3 .00100 16 66.1355 41.9956
300000 3 .00100 24 79.4067 70.711
300000 3 .00100 32 82.3786 95.1801
300000 3 .00100 4 29.4789 4.12804
300000 3 .00100 8 46.0231 14.6142
300000 30 .01000 16 70.2775 47.977
300000 30 .01000 24 84.8808 83.0681
300000 30 .01000 32 76.17 97.0192
300000 30 .01000 4 25.665 4.1084
300000 30 .01000 8 43.7125 14.8536
300000 300 .10000 16 19.5569 24.3511
300000 300 .10000 24 22.8205 38.492
300000 300 .10000 32 19.8884 49.8448
300000 300 .10000 4 8.42441 1.75439
300000 300 .10000 8 14.3461 6.94964
300000 3000 1.00000 16 2.82017 4.27726
300000 3000 1.00000 24 3.2545 7.30697
300000 3000 1.00000 32 2.5957 8.05133
300000 3000 1.00000 4 1.65235 0.275392
300000 3000 1.00000 8 2.31569 1.28473
300000 30000 10.00000 16 0.203551 0.449955
300000 30000 10.00000 24 0.255079 0.663206
300000 30000 10.00000 32 0.207927 0.722793
300000 30000 10.00000 4 0.134073 0.0558636
300000 30000 10.00000 8 0.199546 0.252758
