system,bench,threads,runtime,total_commits,total_query_commits,total_aborts,total_sys_aborts,user_aborts,internal_aborts,si_aborts,serial_aborts,rw_aborts,phantom_aborts,longquery_tried
ermia,tpcc++,1,40,223916,0,0,0,0,0,0,0,0,0,
ermia,tpcc++,12,40,1272596,0,51203,51203,0,3964,20488,0,0,26751,
ermia,tpcc++,18,40,1801323,0,75109,75109,0,6053,30382,0,0,38674,
ermia,tpcc++,24,40,2347469,0,99290,99290,0,8131,40038,0,0,51121,
ermia,tpcc++,6,40,687722,0,25591,25591,0,2029,10578,0,0,12984,
ermia,tpcc_contention,1,40,1110791,0,0,0,0,0,0,0,0,0,
ermia,tpcc_contention,12,40,9577742,0,1260472,1260472,0,202923,916529,0,0,141020,
ermia,tpcc_contention,18,40,13506044,0,1823955,1823955,0,292411,1326953,0,0,204591,
ermia,tpcc_contention,24,40,16176364,0,2236418,2236418,0,350119,1634743,0,0,251556,
ermia,tpcc_contention,6,40,5182997,0,624572,624572,0,99093,457771,0,0,67708,
ermia,tpcc_org,1,40,1098832,0,0,0,0,0,0,0,0,0,
ermia,tpcc_org,12,40,11111007,0,1027,1027,0,0,1026,0,0,1,
ermia,tpcc_org,18,40,15428833,0,1458,1458,0,0,1455,0,0,3,
ermia,tpcc_org,24,40,18916072,0,1743,1743,0,0,1743,0,0,0,
ermia,tpcc_org,6,40,5900509,0,556,556,0,0,554,0,0,2,
ermia,tpce10,1,40,7249,1867,2349,216,2133,0,0,0,0,0, 1867
ermia,tpce10,12,40,78528,20306,24270,2198,22072,8,4,0,0,82, 20375
ermia,tpce10,18,40,113163,29291,35269,3239,32030,8,1,0,0,193, 29461
ermia,tpce10,24,40,142854,37023,44498,4205,40293,14,5,0,0,355, 37326
ermia,tpce10,6,40,43096,11121,13602,1214,12388,4,0,0,0,22, 11140
ermia,tpce20,1,40,3351,846,1146,96,1050,0,0,0,0,1, 846
ermia,tpce20,12,40,38588,10089,12304,1152,11152,2,0,0,0,87, 10171
ermia,tpce20,18,40,57334,14864,18127,1792,16335,4,0,0,0,197, 15047
ermia,tpce20,24,40,71814,18693,23226,2336,20890,4,5,0,0,324, 19006
ermia,tpce20,6,40,20339,5229,6442,603,5839,0,0,0,0,15, 5241
ermia,tpce40,1,40,1542,398,540,51,489,0,0,0,0,0, 398
ermia,tpce40,12,40,19025,4962,6101,671,5430,4,0,0,0,114, 5071
ermia,tpce40,18,40,27813,7356,9062,995,8067,0,1,0,0,183, 7529
ermia,tpce40,24,40,33248,8757,10900,1186,9714,2,0,0,0,251, 9003
ermia,tpce40,6,40,9826,2533,3122,340,2782,0,0,0,0,30, 2558
ermia,tpce5,1,40,14005,3663,4549,382,4167,0,0,0,0,1, 3663
ermia,tpce5,12,40,167675,43327,51064,4619,46445,17,9,0,0,131, 43425
ermia,tpce5,18,40,222785,57617,67897,6178,61719,15,16,0,0,212, 57784
ermia,tpce5,24,40,269211,69850,82561,7546,75015,14,21,0,0,304, 70105
ermia,tpce5,6,40,88296,22834,26964,2423,24541,5,3,0,0,49, 22864
ermia,tpce_org,1,40,126648,0,39230,3401,35829,7,0,0,0,12,
ermia,tpce_org,12,40,1537316,0,466455,41572,424883,108,502,0,0,312,
ermia,tpce_org,18,40,2279998,0,692359,61708,630651,163,1195,0,0,472,
ermia,tpce_org,24,40,2880917,0,875719,78418,797301,243,2028,0,0,608,
ermia,tpce_org,6,40,790045,0,238721,21175,217546,68,114,0,0,127,
