system,bench,threads,runtime,total_commits,total_query_commits,total_aborts,total_sys_aborts,user_aborts,internal_aborts,si_aborts,serial_aborts,rw_aborts,phantom_aborts,longquery_tried
ermia,tpcc++,1,40,171429,0,0,0,0,0,0,0,0,0,
ermia,tpcc++,12,40,940689,0,84040,84040,0,2698,12965,49854,0,18523,
ermia,tpcc++,18,40,1306102,0,120644,120644,0,3887,18715,71229,0,26813,
ermia,tpcc++,24,40,1563498,0,148869,148869,0,4777,22560,87790,1569,32173,
ermia,tpcc++,6,40,516517,0,42559,42559,0,1389,6686,25269,0,9215,
ermia,tpcc_contention,1,40,965916,0,0,0,0,0,0,0,0,0,
ermia,tpcc_contention,12,40,7255233,0,2425501,2425501,0,175508,755133,1358655,25069,111136,
ermia,tpcc_contention,18,40,10274711,0,3577330,3577330,0,254577,1111257,1948981,102092,160423,
ermia,tpcc_contention,24,40,12327814,0,4433610,4433610,0,310587,1363432,2354192,211051,194348,
ermia,tpcc_contention,6,40,3970957,0,1200167,1200167,0,84739,375437,684698,678,54615,
ermia,tpcc_org,1,40,974412,0,0,0,0,0,0,0,0,0,
ermia,tpcc_org,12,40,9740589,0,3137,3137,0,0,457,2152,528,0,
ermia,tpcc_org,18,40,13971511,0,5781,5781,0,0,690,3266,1824,1,
ermia,tpcc_org,24,40,17000125,0,8436,8436,0,0,783,3968,3685,0,
ermia,tpcc_org,6,40,5150466,0,1430,1430,0,0,271,1117,41,1,
ermia,tpce10,1,40,11929,1521,3790,344,3446,2,0,0,0,4, 1521
ermia,tpce10,12,40,112953,15836,48766,10600,38166,3,2,2665,4828,85, 16040
ermia,tpce10,18,40,157280,21976,68168,14904,53264,5,4,4959,5608,200, 22438
ermia,tpce10,24,40,188655,26493,82379,18109,64270,12,7,6960,5926,319, 27057
ermia,tpce10,6,40,61959,8640,26454,5660,20794,7,0,799,3084,24, 8718
ermia,tpce20,1,40,5586,719,1767,172,1595,2,0,0,0,1, 719
ermia,tpce20,12,40,57373,8038,24889,5572,19317,3,0,2096,1730,117, 8241
ermia,tpce20,18,40,80441,11320,35293,7854,27439,3,1,3527,1886,204, 11627
ermia,tpce20,24,40,98490,13789,43224,9638,33586,1,0,4735,1876,338, 14266
ermia,tpce20,6,40,30478,4234,13142,2833,10309,1,0,644,1291,23, 4305
ermia,tpce5,1,40,21782,2876,7027,601,6426,1,0,0,0,1, 2876
ermia,tpce5,12,40,209472,29651,89554,18724,70830,13,2,2414,10931,99, 29862
ermia,tpce5,18,40,295415,41726,127276,26968,100308,14,5,5052,14584,182, 42190
ermia,tpce5,24,40,292983,41341,126606,27167,99439,14,3,6539,13134,276, 41900
ermia,tpce5,6,40,116582,16441,49462,10519,38943,4,1,675,6674,41, 16516
ermia,tpce_org,1,40,117281,0,36484,3167,33317,13,0,0,0,10,
ermia,tpce_org,12,40,1280326,0,532238,100878,431360,67,46,3163,67300,223,
ermia,tpce_org,18,40,1854921,0,779913,152208,627705,90,124,6186,105047,369,
ermia,tpce_org,24,40,2319308,0,980634,194366,786268,127,222,9069,136942,555,
ermia,tpce_org,6,40,656884,0,265533,46810,218723,29,16,918,28838,93,
