Reads Writes Write% Threads Commits/s Aborts/s Aborts/commits
1000 1 .10000% 4 8579.49 25.2164 .00293914906363898087
1000 1 .10000% 8 15484.1 52.466 .00338837904689326470
1000 1 .10000% 16 24670.6 108.732 .00440735126020445388
1000 1 .10000% 24 35820.7 195.247 .00545067516826862679
1000 1 .10000% 32 40589.9 268.011 .00660289875067442886
1000 10 1.00000% 4 8413.42 94.9326 .01128347330811964694
1000 10 1.00000% 8 16131.9 148.832 .00922594362722307973
1000 10 1.00000% 16 33021.4 237.281 .00718567353292107542
1000 10 1.00000% 24 47816.6 331.328 .00692914176248415822
1000 10 1.00000% 32 52671.4 417.524 .00792695846322672266
1000 100 10.00000% 4 4213.51 133.231 .03161995580881497848
1000 100 10.00000% 8 7701.07 247.746 .03217033477166160027
1000 100 10.00000% 16 12474.8 425.157 .03408126783595728989
1000 100 10.00000% 24 13016.8 459.136 .03527257083154077807
1000 100 10.00000% 32 17279.8 636.278 .03682206969988078565
