Reads Writes Write% Threads Commits/s Aborts/s
200000 2 .00100 4 42.2087 4.04604
200000 2 .00100 8 71.2765 14.6648
200000 2 .00100 16 102.495 39.7641
200000 2 .00100 24 151.434 93.1183
200000 2 .00100 32 138.647 109.86
200000 20 .01000 4 43.4316 4.01342
200000 20 .01000 8 77.6161 16.6617
200000 20 .01000 16 128.058 56.4543
200000 20 .01000 24 162.102 106.115
200000 20 .01000 32 150.484 129.193
200000 200 .10000 4 17.6681 2.01303
200000 200 .10000 8 33.1731 8.26838
200000 200 .10000 16 50.739 32.4498
200000 200 .10000 24 56.5688 57.3819
200000 200 .10000 32 54.677 72.2618
200000 2000 1.00000 4 3.63388 0.505158
200000 2000 1.00000 8 6.21714 1.85053
200000 2000 1.00000 16 8.76287 6.59658
200000 2000 1.00000 24 9.33387 12.7368
200000 2000 1.00000 32 8.12018 15.8352
200000 20000 10.00000 4 0.366004 0.0878409
200000 20000 10.00000 8 0.620637 0.339872
200000 20000 10.00000 16 0.811769 0.918231
200000 20000 10.00000 24 0.857103 1.53154
200000 20000 10.00000 32 0.631991 1.7283
