system,bench,threads,runtime,total_commits,total_query_commits,total_aborts,total_sys_aborts,user_aborts,internal_aborts,si_aborts,serial_aborts,rw_aborts,phantom_aborts,longquery_tried
ermia,tpcc++,1,40,170476,0,0,0,0,0,0,0,0,0,
ermia,tpcc++,12,40,944439,0,84567,84567,0,2689,13232,49671,0,18975,
ermia,tpcc++,18,40,1306767,0,119745,119745,0,3726,18766,70681,0,26572,
ermia,tpcc++,24,40,1261914,0,122602,122602,0,4002,19259,72995,283,26063,
ermia,tpcc++,6,40,510125,0,41889,41889,0,1317,6531,24884,0,9157,
ermia,tpcc_contention,1,40,970334,0,0,0,0,0,0,0,0,0,
ermia,tpcc_contention,12,40,7296577,0,2437107,2437107,0,175023,763081,1360100,26081,112822,
ermia,tpcc_contention,18,40,10171303,0,3541286,3541286,0,252021,1094843,1936084,97727,160611,
ermia,tpcc_contention,24,40,12509782,0,4499891,4499891,0,313964,1382380,2385733,220675,197139,
ermia,tpcc_contention,6,40,3898475,0,1183097,1183097,0,83986,366664,679743,490,52214,
ermia,tpcc_org,1,40,971364,0,0,0,0,0,0,0,0,0,
ermia,tpcc_org,12,40,9779431,0,3088,3088,0,0,483,2094,511,0,
ermia,tpcc_org,18,40,14001162,0,5781,5781,0,0,720,3291,1770,0,
ermia,tpcc_org,24,40,16873640,0,8378,8378,0,0,808,3944,3625,1,
ermia,tpcc_org,6,40,5190692,0,1298,1298,0,0,250,1016,31,1,
ermia,tpce1,1,40,38209,13951,8652,946,7706,1,0,0,0,2, 13951
ermia,tpce1,12,40,394722,157571,131303,32784,98519,22,3,974,22860,68, 157659
ermia,tpce1,18,40,593648,237322,197093,49544,147549,30,13,2123,34727,129, 237519
ermia,tpce1,24,40,784610,313543,260324,65117,195207,37,14,3764,45580,170, 313933
ermia,tpce1,6,40,199749,79820,66696,16489,50207,9,4,242,11378,29, 79843
ermia,tpce10,1,40,4708,1719,1132,109,1023,0,0,0,0,1, 1719
ermia,tpce10,12,40,43303,17268,14557,3693,10864,1,1,958,1649,28, 17345
ermia,tpce10,18,40,58378,23337,19858,5128,14730,2,0,1733,1835,74, 23504
ermia,tpce10,24,40,71644,28716,24228,6301,17927,4,1,2470,1906,118, 28912
ermia,tpce10,6,40,23347,9206,7748,1944,5804,3,0,289,1059,15, 9240
ermia,tpce20,1,40,2109,758,497,60,437,0,0,0,0,0, 758
ermia,tpce20,12,40,21151,8561,7320,1773,5547,0,0,634,576,27, 8612
ermia,tpce20,18,40,29775,12057,10286,2616,7670,2,1,1176,571,75, 12176
ermia,tpce20,24,40,35649,14365,12320,3249,9071,2,1,1615,583,111, 14508
ermia,tpce20,6,40,11248,4465,3782,948,2834,1,0,210,438,10, 4486
ermia,tpce40,1,40,977,350,200,34,166,0,0,0,0,1, 350
ermia,tpce40,12,40,10133,4122,3532,879,2653,1,0,408,180,20, 4158
ermia,tpce40,18,40,14253,5747,5032,1263,3769,0,0,585,205,71, 5828
ermia,tpce40,24,40,17049,6855,5874,1554,4320,0,0,772,220,89, 6953
ermia,tpce40,6,40,5356,2150,1812,449,1363,0,0,147,152,4, 2164
ermia,tpce5,1,40,9385,3428,2087,230,1857,1,0,0,0,1, 3428
ermia,tpce5,12,40,92332,36769,31115,7701,23414,6,1,1135,4301,46, 36885
ermia,tpce5,18,40,112341,44691,37801,9773,28028,7,2,2075,4870,85, 44905
ermia,tpce5,24,40,139094,55579,46845,12007,34838,11,0,3127,5447,107, 55857
ermia,tpce5,6,40,48539,19319,16100,3986,12114,2,0,279,2479,15, 19352
ermia,tpce60,1,40,660,223,124,20,104,0,0,0,0,0, 223
ermia,tpce60,12,40,6573,2650,2263,550,1713,0,0,268,101,10, 2672
ermia,tpce60,18,40,9241,3697,3263,807,2456,0,0,369,128,42, 3755
ermia,tpce60,24,40,11040,4335,3902,1060,2842,0,0,515,132,103, 4458
ermia,tpce60,6,40,3395,1383,1171,304,867,0,0,103,91,9, 1394
ermia,tpce80,1,40,497,170,127,17,110,0,0,0,0,0, 170
ermia,tpce80,12,40,4797,1909,1680,438,1242,0,0,212,80,21, 1962
ermia,tpce80,18,40,6739,2648,2409,672,1737,1,0,319,99,49, 2728
ermia,tpce80,24,40,8066,3101,3022,880,2142,0,0,415,81,148, 3304
ermia,tpce80,6,40,2534,1031,870,226,644,0,0,93,52,6, 1037
ermia,tpce_org,1,40,115899,0,36003,3132,32871,14,0,0,0,11,
ermia,tpce_org,12,40,1277144,0,531226,101016,430210,85,76,3198,67363,248,
ermia,tpce_org,18,40,1810987,0,760310,147885,612425,98,103,6169,101776,346,
ermia,tpce_org,24,40,2396041,0,1013087,201290,811797,138,232,8854,142621,526,
ermia,tpce_org,6,40,655964,0,265392,46843,218549,26,10,1003,28761,96,
