system,bench,threads,runtime,total_commits,total_query_commits,total_aborts,total_sys_aborts,user_aborts,read_aborts,write_aborts,absent_aborts,longquery_tried
silo,tpcc++,1,40,262463,0,0,0,0,,,,
silo,tpcc++,12,40,1253915,0,82074,82074,0,,,,
silo,tpcc++,18,40,1781651,0,123492,123492,0,,,,
silo,tpcc++,24,40,2148902,0,149935,149935,0,,,,
silo,tpcc++,6,40,703379,0,42147,42147,0,,,,
silo,tpcc_contention,1,40,1236563,0,0,0,0,,,,
silo,tpcc_contention,12,40,9438781,0,2572803,2572803,0,,,,
silo,tpcc_contention,18,40,13159021,0,3667879,3667879,0,,,,
silo,tpcc_contention,24,40,16189113,0,4539369,4539369,0,,,,
silo,tpcc_contention,6,40,5232516,0,1294213,1294213,0,,,,
silo,tpcc_org,1,40,1172858,0,0,0,0,,,,
silo,tpcc_org,12,40,13439141,0,1653,1653,0,,,,
silo,tpcc_org,18,40,19380969,0,2404,2404,0,,,,
silo,tpcc_org,24,40,21137825,0,2449,2449,0,,,,
silo,tpcc_org,6,40,7053208,0,840,840,0,,,,
silo,tpce1,1,40,39976,14666,9279,983,8296,,,, 14666
silo,tpce1,12,40,528788,172548,160194,48572,111622,,,, 206603
silo,tpce1,18,40,759455,232002,263040,97254,165786,,,, 307115
silo,tpce1,24,40,894185,253877,347170,146287,200883,,,, 372961
silo,tpce1,6,40,266033,93294,70117,14513,55604,,,, 100865
silo,tpce10,1,40,6088,2193,1351,143,1208,,,, 2193
silo,tpce10,12,40,50158,14268,19796,8056,11740,,,, 20960
silo,tpce10,18,40,67952,16740,32012,15240,16772,,,, 29944
silo,tpce10,24,40,79078,16672,42628,22374,20254,,,, 36577
silo,tpce10,6,40,29164,9518,8956,2558,6398,,,, 11331
silo,tpce20,1,40,2773,989,627,73,554,,,, 989
silo,tpce20,12,40,23460,6101,10793,4867,5926,,,, 10294
silo,tpce20,18,40,31420,6524,17624,9280,8344,,,, 14804
silo,tpce20,24,40,35229,6038,22571,12646,9925,,,, 17517
silo,tpce20,6,40,13567,4248,4597,1497,3100,,,, 5394
silo,tpce40,1,40,1192,441,286,40,246,,,, 441
silo,tpce40,12,40,10207,2323,5789,2862,2927,,,, 4872
silo,tpce40,18,40,13388,2144,9214,5197,4017,,,, 6861
silo,tpce40,24,40,14954,1857,11393,6655,4738,,,, 7967
silo,tpce40,6,40,5982,1845,2329,842,1487,,,, 2516
silo,tpce5,1,40,11005,3962,2327,265,2062,,,, 3962
silo,tpce5,12,40,115289,35234,40955,14614,26341,,,, 46731
silo,tpce5,18,40,149703,40619,62466,27288,35178,,,, 63624
silo,tpce5,24,40,175674,42861,82607,40085,42522,,,, 77651
silo,tpce5,6,40,63035,21533,18321,4427,13894,,,, 24353
silo,tpce60,1,40,702,265,189,23,166,,,, 265
silo,tpce60,12,40,6364,1256,4086,2157,1929,,,, 3208
silo,tpce60,18,40,7839,910,6053,3562,2491,,,, 4173
silo,tpce60,24,40,9685,996,7682,4574,3108,,,, 5206
silo,tpce60,6,40,3647,1080,1663,680,983,,,, 1647
silo,tpce80,1,40,560,197,127,19,108,,,, 197
silo,tpce80,12,40,4808,750,3329,1877,1452,,,, 2468
silo,tpce80,18,40,6431,696,5135,3010,2125,,,, 3457
silo,tpce80,24,40,7586,512,6543,3996,2547,,,, 4208
silo,tpce80,6,40,2868,800,1331,572,759,,,, 1280
silo,tpce_org,1,40,122131,0,37836,3288,34548,,,,
silo,tpce_org,12,40,1539395,0,478706,49336,429370,,,,
silo,tpce_org,18,40,2133672,0,675120,74238,600882,,,,
silo,tpce_org,24,40,2902768,0,926719,109189,817530,,,,
silo,tpce_org,6,40,744936,0,228113,21771,206342,,,,
