system,bench,threads,runtime,total_commits, total_sys_aborts, user_aborts, total_aborts, long_query_commits, read_aborts, write_aborts, absent_aborts, longquery_tried
silo,tpcc++,1,40,176791,0,0,0,0,0,0,0,
silo,tpcc++,12,40,1141936,64672,0,64672,0,45147,740,18660,
silo,tpcc++,18,40,1602905,95305,0,95305,0,67158,1112,26841,
silo,tpcc++,24,40,1953609,117035,0,117035,0,82758,1516,32509,
silo,tpcc++,6,40,638094,32812,0,32812,0,23111,415,9232,
silo,tpcc_contention,1,40,1257195,0,0,0,0,0,0,0,
silo,tpcc_contention,12,40,9784970,2428932,0,2428932,0,2192330,94444,141979,
silo,tpcc_contention,18,40,13416514,3385168,0,3385168,0,3049968,137505,197463,
silo,tpcc_contention,24,40,16619262,4218316,0,4218316,0,3798657,174298,245080,
silo,tpcc_contention,6,40,5345611,1215301,0,1215301,0,1096738,45602,72862,
silo,tpcc_org,1,40,1237527,0,0,0,0,0,0,0,
silo,tpcc_org,12,40,14091047,598,0,598,0,597,0,0,
silo,tpcc_org,18,40,20283318,835,0,835,0,832,2,0,
silo,tpcc_org,24,40,22139921,844,0,844,0,842,0,1,
silo,tpcc_org,6,40,7333118,312,0,312,0,312,0,0,
silo,tpce10,1,40,30584,813,6269,7082,3779,0,3,2, 3779
silo,tpce10,12,40,255048,18890,52882,71772,20862,12219,15,121, 32792
silo,tpce10,18,40,306270,29002,65101,94103,19636,20720,16,198, 39881
silo,tpce10,24,40,357537,39656,77429,117085,18541,29846,22,216, 47501
silo,tpce10,6,40,165429,8137,33709,41846,16950,3839,10,70, 20703
silo,tpce20,1,40,15485,403,3151,3554,1872,0,0,0, 1872
silo,tpce20,12,40,130189,14049,28247,42296,6755,10464,7,76, 17154
silo,tpce20,18,40,166061,21835,37008,58843,5382,17120,12,83, 22301
silo,tpce20,24,40,139970,20303,31824,52127,3133,16263,10,99, 19243
silo,tpce20,6,40,77624,5518,16225,21743,6319,3479,9,24, 9783
silo,tpce40,1,40,6907,196,1457,1653,840,0,0,0, 840
silo,tpce40,12,40,59305,8530,13437,21967,1361,6834,3,32, 8183
silo,tpce40,18,40,81183,12813,18790,31603,938,10443,9,36, 11341
silo,tpce40,24,40,79551,13067,18706,31773,598,10772,9,36, 11294
silo,tpce40,6,40,32184,3213,7067,10280,1918,2309,0,12, 4226
silo,tpce5,1,40,44790,1149,9292,10441,5501,0,6,1, 5501
silo,tpce5,12,40,479867,23899,97488,121387,49604,11647,35,173, 60327
silo,tpce5,18,40,627291,39359,129034,168393,58478,23052,37,291, 79676
silo,tpce5,24,40,653516,48698,136293,184991,55019,31501,45,298, 84038
silo,tpce5,6,40,233254,8432,46825,55257,26617,2501,15,82, 28927
silo,tpce_org,1,40,89294,2379,25085,27464,0,0,8,8,
silo,tpce_org,12,40,1497730,48140,416935,465075,0,7757,103,423,
silo,tpce_org,18,40,2165736,75556,607534,683090,0,17417,146,585,
silo,tpce_org,24,40,2468844,94032,695255,789287,0,27509,185,676,
silo,tpce_org,6,40,670912,19656,186243,205899,0,1626,46,161,
