system,bench,threads,runtime,total_commits, total_sys_aborts, user_aborts, total_aborts, long_query_commits, read_aborts, write_aborts, absent_aborts, longquery_tried
silo,tpcc++,1,40,184497,0,0,0,0,,,,
silo,tpcc++,12,40,1164784,65688,0,65688,0,,,,
silo,tpcc++,18,40,1614397,95609,0,95609,0,,,,
silo,tpcc++,24,40,1961185,118247,0,118247,0,,,,
silo,tpcc++,6,40,638408,33243,0,33243,0,,,,
silo,tpcc_contention,1,40,1284356,0,0,0,0,,,,
silo,tpcc_contention,12,40,10032964,2473390,0,2473390,0,,,,
silo,tpcc_contention,18,40,14041350,3517814,0,3517814,0,,,,
silo,tpcc_contention,24,40,16890725,4254531,0,4254531,0,,,,
silo,tpcc_contention,6,40,5501112,1242147,0,1242147,0,,,,
silo,tpcc_org,1,40,1326241,0,0,0,0,,,,
silo,tpcc_org,12,40,14673591,604,0,604,0,,,,
silo,tpcc_org,18,40,21152973,927,0,927,0,,,,
silo,tpcc_org,24,40,22991516,857,0,857,0,,,,
silo,tpcc_org,6,40,7569732,344,0,344,0,,,,
silo,tpce10,1,40,32477,853,6573,7426,4024,,,, 4024
silo,tpce10,12,40,305265,22607,63735,86342,25133,,,, 39330
silo,tpce10,18,40,332628,31301,70817,102118,21745,,,, 43394
silo,tpce10,24,40,438639,48650,94557,143207,22705,,,, 58166
silo,tpce10,6,40,181719,8831,36964,45795,18734,,,, 22764
silo,tpce20,1,40,15986,415,3398,3813,1950,,,, 1950
silo,tpce20,12,40,149573,16418,32390,48808,7496,,,, 19747
silo,tpce20,18,40,187532,25181,41959,67140,5578,,,, 25301
silo,tpce20,24,40,173350,25671,39254,64925,3400,,,, 23853
silo,tpce20,6,40,80676,5770,17045,22815,6567,,,, 10161
silo,tpce40,1,40,7454,211,1562,1773,890,,,, 890
silo,tpce40,12,40,63648,9117,14296,23413,1472,,,, 8748
silo,tpce40,18,40,79771,12772,18415,31187,786,,,, 11198
silo,tpce40,24,40,87175,14319,20428,34747,520,,,, 12305
silo,tpce40,6,40,40999,4090,9143,13233,2392,,,, 5357
silo,tpce5,1,40,56076,1423,11592,13015,6846,,,, 6846
silo,tpce5,12,40,568841,28090,115098,143188,59019,,,, 71313
silo,tpce5,18,40,758900,46792,155427,202219,71657,,,, 96232
silo,tpce5,24,40,544950,39410,114586,153996,47628,,,, 70083
silo,tpce5,6,40,307792,11165,61610,72775,35142,,,, 38179
silo,tpce_org,1,40,119090,3191,33562,36753,0,,,,
silo,tpce_org,12,40,1594920,51366,443358,494724,0,,,,
silo,tpce_org,18,40,2280227,79617,638256,717873,0,,,,
silo,tpce_org,24,40,2942126,111559,825997,937556,0,,,,
silo,tpce_org,6,40,785845,22923,217740,240663,0,,,,
