system,bench,threads,runtime,total_commits,total_query_commits,total_aborts,total_sys_aborts,user_aborts,read_aborts,write_aborts,absent_aborts,longquery_tried
silo,tpcc++,1,40,262463,0,0,0,0,,,,
silo,tpcc++,12,40,1253915,0,82074,82074,0,,,,
silo,tpcc++,18,40,1781651,0,123492,123492,0,,,,
silo,tpcc++,24,40,2148902,0,149935,149935,0,,,,
silo,tpcc++,6,40,703379,0,42147,42147,0,,,,
silo,tpcc_contention,1,40,1236563,0,0,0,0,,,,
silo,tpcc_contention,12,40,9438781,0,2572803,2572803,0,,,,
silo,tpcc_contention,18,40,13159021,0,3667879,3667879,0,,,,
silo,tpcc_contention,24,40,16189113,0,4539369,4539369,0,,,,
silo,tpcc_contention,6,40,5232516,0,1294213,1294213,0,,,,
silo,tpcc_org,1,40,1172858,0,0,0,0,,,,
silo,tpcc_org,12,40,13439141,0,1653,1653,0,,,,
silo,tpcc_org,18,40,19380969,0,2404,2404,0,,,,
silo,tpcc_org,24,40,21137825,0,2449,2449,0,,,,
silo,tpcc_org,6,40,7053208,0,840,840,0,,,,
silo,tpce10,1,40,8067,2086,2687,236,2451,,,, 2086
silo,tpce10,12,40,67822,11222,32127,10692,21435,,,, 19812
silo,tpce10,18,40,89810,11789,48181,18566,29615,,,, 27439
silo,tpce10,24,40,112953,11650,66826,27981,38845,,,, 35821
silo,tpce10,6,40,40003,8558,15807,3589,12218,,,, 10959
silo,tpce20,1,40,3639,914,1239,100,1139,,,, 914
silo,tpce20,12,40,31705,4306,16818,6462,10356,,,, 9719
silo,tpce20,18,40,43931,4197,26616,11406,15210,,,, 14085
silo,tpce20,24,40,49443,3346,33110,14988,18122,,,, 16517
silo,tpce20,6,40,19199,3663,8168,2322,5846,,,, 5377
silo,tpce5,1,40,14242,3707,4484,386,4098,,,, 3707
silo,tpce5,12,40,154357,29013,66590,19529,47061,,,, 43879
silo,tpce5,18,40,196337,30509,96362,33930,62432,,,, 58223
silo,tpce5,24,40,230863,29278,125345,49287,76058,,,, 70838
silo,tpce5,6,40,82358,18629,30231,6106,24125,,,, 22357
silo,tpce_org,1,40,122131,0,37836,3288,34548,,,,
silo,tpce_org,12,40,1539395,0,478706,49336,429370,,,,
silo,tpce_org,18,40,2133672,0,675120,74238,600882,,,,
silo,tpce_org,24,40,2902768,0,926719,109189,817530,,,,
silo,tpce_org,6,40,744936,0,228113,21771,206342,,,,
